State,Total_Orders,Total_Revenue,Avg_Order_Value,Unique_Customers,Total_Items,Orders_Per_Customer,Avg_Items_Per_Order
AC,81,9334.95,148.17380952380952,81,30.0,1.0,0.37037037037037035
AL,413,41073.41,130.39177777777778,413,170.0,1.0,0.4116222760290557
AM,148,13602.99,115.27957627118644,148,89.0,1.0,0.6013513513513513
AP,68,8615.33,148.5401724137931,68,35.0,1.0,0.5147058823529411
BA,3380,325463.62,114.92359463276836,3380,2581.0,1.0,0.7636094674556213
CE,1336,126366.66,120.80942638623327,1336,785.0,1.0,0.5875748502994012
DF,2140,206779.32,110.51807589524319,2140,1802.0,1.0,0.8420560747663551
ES,2033,197666.73,111.23620146314013,2033,1704.0,1.0,0.838170191834727
GO,2020,194525.2,112.83364269141532,2020,1600.0,1.0,0.7920792079207921
MA,747,78283.0,129.17986798679868,747,275.0,1.0,0.36813922356091033
MG,11635,1112769.23,110.01178744438951,11635,9946.0,1.0,0.8548345509239365
MS,715,70554.14,115.66252459016394,715,591.0,1.0,0.8265734265734266
MT,907,88139.74,119.59259158751696,907,647.0,1.0,0.7133406835722161
PA,975,99026.85,128.94121093750002,975,537.0,1.0,0.5507692307692308
PB,536,53271.9,133.8489949748744,536,180.0,1.0,0.3358208955223881
PE,1652,168321.35,124.8674703264095,1652,993.0,1.0,0.601089588377724
PI,495,51811.01,133.53353092783505,495,197.0,1.0,0.397979797979798
PR,5045,470345.83,107.18911349134002,5045,4249.0,1.0,0.8422200198216055
RJ,12852,1257240.02,112.93927596119296,12852,10690.0,1.0,0.831777155306567
RN,485,48726.53,126.56241558441558,485,197.0,1.0,0.4061855670103093
RO,253,26931.72,137.40673469387755,253,79.0,1.0,0.31225296442687744
RR,46,4396.6,125.61714285714287,46,21.0,1.0,0.45652173913043476
RS,5466,523915.16,110.92846919330933,5466,4562.0,1.0,0.8346139773143066
SC,3637,349500.7,111.59026181353768,3637,3018.0,1.0,0.8298047841627715
SE,350,34404.42,126.02351648351647,350,170.0,1.0,0.4857142857142857
SP,41746,3734689.11,100.1901789355081,41746,36925.0,1.0,0.8845158817611268
TO,280,30528.37,131.58780172413793,280,133.0,1.0,0.475
