Date,Orders_Count,Revenue,Avg_Order_Value,Unique_Customers,Total_Items
2016-09-04,1,136.23,136.23,1,0.0
2016-09-05,1,75.06,75.06,1,1.0
2016-09-13,1,40.95,40.95,1,0.0
2016-09-15,1,0.0,,1,1.0
2016-10-02,1,109.34,109.34,1,1.0
2016-10-03,8,595.14,74.3925,8,8.0
2016-10-04,63,6040.77,120.81540000000001,63,52.0
2016-10-05,47,3727.62,106.50342857142857,47,33.0
2016-10-06,51,4709.68,109.52744186046512,51,43.0
2016-10-07,46,4497.97,121.56675675675676,46,40.0
2016-10-08,42,3579.64,115.47225806451613,42,28.0
2016-10-09,26,1669.1,87.84736842105262,26,21.0
2016-10-10,39,3078.19,87.94828571428572,39,33.0
2016-10-22,1,61.99,61.99,1,0.0
2016-12-23,1,19.62,19.62,1,1.0
2017-01-05,32,707.27,22.1021875,32,32.0
2017-01-06,4,338.28,84.57,4,3.0
2017-01-07,4,212.04000000000002,106.02000000000001,4,2.0
2017-01-08,6,809.63,134.93833333333333,6,6.0
2017-01-09,5,298.74,99.58,5,4.0
2017-01-10,6,426.34000000000003,106.58500000000001,6,4.0
2017-01-11,12,1017.43,127.17875,12,8.0
2017-01-12,13,451.16,56.395,13,11.0
2017-01-13,12,999.94,142.84857142857143,12,6.0
2017-01-14,18,1346.69,79.21705882352941,18,16.0
2017-01-15,14,1223.65,122.36500000000001,14,11.0
2017-01-16,19,1205.03,86.07357142857143,19,15.0
2017-01-17,32,2478.53,91.79740740740742,32,29.0
2017-01-18,33,2869.44,98.94620689655173,33,27.0
2017-01-19,29,2518.7999999999997,96.87692307692306,29,25.0
2017-01-20,29,2150.44,93.49739130434783,29,25.0
2017-01-21,24,2009.72,95.70095238095239,24,20.0
2017-01-22,31,2668.75,98.8425925925926,31,28.0
2017-01-23,39,2637.69,94.20321428571428,39,31.0
2017-01-24,40,3679.89,114.9965625,40,34.0
2017-01-25,63,5278.61,99.59641509433962,63,54.0
2017-01-26,86,8245.84,112.95671232876713,86,74.0
2017-01-27,62,6229.74,119.8026923076923,62,47.0
2017-01-28,29,2199.71,99.98681818181818,29,21.0
2017-01-29,35,3775.06,130.17448275862068,35,29.0
2017-01-30,53,4755.34,121.93179487179488,53,43.0
2017-01-31,70,6727.35,110.2844262295082,70,57.0
2017-02-01,73,6861.93,103.96863636363636,73,58.0
2017-02-02,69,6541.46,114.76245614035088,69,55.0
2017-02-03,60,5359.15,109.3704081632653,60,46.0
2017-02-04,67,6321.54,114.93709090909091,67,56.0
2017-02-05,75,7211.46,107.63373134328359,75,64.0
2017-02-06,85,8456.32,111.26736842105262,85,71.0
2017-02-07,112,9000.72,92.79092783505153,112,93.0
2017-02-08,95,9428.11,109.62918604651163,95,75.0
2017-02-09,77,6710.61,103.24015384615385,77,68.0
2017-02-10,66,5742.3,110.42884615384615,66,53.0
2017-02-11,49,4228.91,96.1115909090909,49,40.0
2017-02-12,64,4994.57,92.49203703703704,64,52.0
2017-02-13,78,7052.45,105.26044776119403,78,61.0
2017-02-14,76,6512.35,112.28189655172415,76,58.0
2017-02-15,62,5711.6,100.20350877192983,62,52.0
2017-02-16,55,5749.15,117.32959183673469,55,46.0
2017-02-17,46,4576.7,117.35128205128204,46,40.0
2017-02-18,54,3853.81,96.34525,54,47.0
2017-02-19,40,3456.86,93.42864864864865,40,38.0
2017-02-20,63,5622.04,98.63228070175438,63,58.0
2017-02-21,41,3242.49,92.64257142857143,41,34.0
2017-02-22,63,4923.79,91.1812962962963,63,52.0
2017-02-23,59,4276.29,89.089375,59,52.0
2017-02-24,64,5010.99,87.9121052631579,64,57.0
2017-02-25,43,4238.02,103.36634146341464,43,40.0
2017-02-26,46,4930.75,114.6686046511628,46,40.0
2017-02-27,43,2980.61,82.79472222222222,43,38.0
2017-02-28,55,4627.36,107.61302325581394,55,44.0
2017-03-01,99,10690.71,118.78566666666666,99,86.0
2017-03-02,72,6468.3,104.32741935483871,72,59.0
2017-03-03,74,5872.85,97.88083333333334,74,60.0
